transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x8811d7049d579118172a69bac85335c9409b4ff4e878bbd62ff052eebc0968aa,1,0xb1bec42572d29cd2e688d4e00e5c76a64baea0c2,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 16:59:32.000000 UTC,42000,13607265877,23370001,21000,5.549801e+18,220,2,701,1397247,8111962,0.1722452595315412,465,540,542,0.996309963099631,192,227,1434100,298,0x8811d7049d579118172a69bac85335c9409b4ff4e878bbd62ff052eebc0968aa,221,184,1,1730099,472,3008003,1,2,0.0,0.0,1,0,0.0,-0.703074451803252,-0.6992889579703011,-0.10106683232630027,-0.1168002080465044,-0.11192963636405948,0.49888920269957054,-0.7285395164810863,0.045827792030517234,1.8932139631144962,0.0,-0.6481926181472548,-0.10106683232630027,-0.690121898861255,-0.26731621574684256,-0.5573183448853954,-0.561683275635287,0.0,0.0,0.0,0.0,0.0,0.0,0.0544947565496516,0.9224305597606062,0.0,-0.0,-0.11911801674298374,1.0,0.9830866807610994,4.688727061283776,0.46450968815201044,0.8421052631578947,542.0,0.0003765425168799129,0.4077490774907749,2.724371736455373e-05,1.201086956521739,0.3956989247311828,0
0x879e40dc601eaa4644d1af836eb615af250f0ee7285e8b4b9f3ee59bc0cbfac4,1,0xfca4cd2a83271faa577beccb75d8d7162f5ddd75,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 22:30:12.000000 UTC,42000,11422979097,1451346,21000,1.4892731e+18,21,2,138,1397809,8113579,0.17228019841798545,465,90,90,1.0,40,252,1594495,861,0x879e40dc601eaa4644d1af836eb615af250f0ee7285e8b4b9f3ee59bc0cbfac4,12,10,1,1730170,472,3009448,2,2,0.0,0.0,1,0,0.0,1.2728844275521645,1.2290013986865906,-0.10106683232630027,-0.15784601813504162,-0.13549247200547826,-0.30640464529163575,1.2434303954501387,-0.20416298281641473,-0.32850859780994646,0.0,1.115083151961622,-0.10106683232630027,1.262389882989938,-0.221233639945269,-0.5074378143689453,-0.5106120209799921,0.0,0.0,0.0,0.0,0.0,0.0,-0.294763566735121,-1.6477670937648834,0.0,-0.0,-0.15510043972570814,1.0,0.9830866807610994,4.689469242906767,0.4644733969573832,0.15810276679841898,45.0,5.644416793770571e-05,0.13333333333333333,1.4790020532246004e-06,1.2,0.021505376344086023,0
0xb6e3b39b021171ec61a47a9eb894ed5478e91f83837e9769d68c0a73d250d793,1,0x2f1bc5f4662f2ecae78ebcea1b7a1d8d7da6155d,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 16:00:08.000000 UTC,42000,8769904867,6136721,21000,1.074174e+18,2,2,806,1397135,8111610,0.17223892667423607,465,12,12,1.0,11,280,1770684,198,0xb6e3b39b021171ec61a47a9eb894ed5478e91f83837e9769d68c0a73d250d793,3,3,1,1730081,472,3007719,1,2,0.0,0.0,1,0,0.0,-1.0968598512477479,-1.119052845133706,-0.10106683232630027,-0.16496062521705473,-0.13955862505864344,-0.46004623471101064,-1.0788006020816592,-0.2149281358002539,-0.41788824106552747,0.0,-1.0952202781748572,-0.10106683232630027,-1.0738681591005206,-0.26731621574684256,-0.4515716201905212,-0.45451181033463695,0.0,0.0,0.0,0.0,0.0,0.0,-0.7189790432028398,-1.0983565651130573,0.0,-0.0,-0.1585359474476768,1.0,0.9830866807610994,4.6885723847611755,0.4645163113587701,0.03914590747330961,12.0,6.777038264852303e-06,0.25,3.6984026598911927e-07,1.0,0.0064516129032258064,0
0x3a39e14b5f9b8f66a84a3cfc82f2d29c40fdd44feae360c338e5970d28b31e61,1,0x3a0c364f8be8fe41aa95a619157dce23452d8fa4,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 19:31:39.000000 UTC,42000,15442812554,16420548,21000,1.11094614e+18,6,2,418,1397509,8112765,0.1722605055119925,465,27,27,1.0,23,1659,10351651,588,0x3a39e14b5f9b8f66a84a3cfc82f2d29c40fdd44feae360c338e5970d28b31e61,2,2,1,1730141,472,3008674,4,2,0.0,0.0,1,0,0.0,0.21810210761155063,0.25829740962121656,-0.10106683232630027,-0.16359243154743683,-0.13877667254841936,-0.39647040460644173,0.28721763176057485,-0.21612426390956938,-0.43065676153061044,0.0,0.3948719219171512,-0.10106683232630027,0.2165462019153198,-0.12906848834212198,2.2998384430968652,2.277747616989665,0.0,0.0,0.0,0.0,0.0,0.0,0.34799099550045276,0.1075325747389124,0.0,-0.0,-0.15781268266410445,1.0,0.9830866807610994,4.689077364214824,0.46449317390545675,0.013855421686746987,6.75,2.6082793355108923e-06,0.07407407407407407,2.4652507498984625e-07,1.0,0.004301075268817204,0
0x42bfbf497cb9919f4f0d0b1ef49b99cb345a7e67e6b6e492a68d21c26ca66bd1,1,0xe49b286e0a41e794a5c96ebc1226bde29ac89002,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 14:31:23.000000 UTC,42000,10546628354,8675815,21000,8.011383e+17,223,2,980,1396961,8111070,0.17222894143436068,465,773,773,1.0,500,1130,7212839,19,0x42bfbf497cb9919f4f0d0b1ef49b99cb345a7e67e6b6e492a68d21c26ca66bd1,22,22,1,1730046,472,3007258,2,2,0.0,0.0,1,0,0.0,-1.7086335968133037,-1.7630088083957478,-0.10106683232630027,-0.09554759971177292,-0.09988756770660873,2.1306688420501727,-1.7057679453066843,-0.1922017017232601,-0.17528635222895042,0.0,-1.964440728228529,-0.10106683232630027,-1.6967802223762298,-0.221233639945269,1.2443664173687818,1.2783207834406434,0.0,0.0,0.0,0.0,0.0,0.0,-0.4348883863842811,-0.8006205297185202,0.0,-0.0,-0.11857556815530448,1.0,0.9830866807610994,4.688355107320846,0.46452965973333193,0.4420866489832007,386.5,0.00010716999129330472,0.028460543337645538,2.7123425146127454e-06,1.0,0.047311827956989246,0
0x4548c686a267c7234f7c61c5097e9598e550e760de904f369e09163514e818e6,1,0xd47290c1df07ba0aecaf7615016ccf411891d332,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 20:00:01.000000 UTC,42000,19003102545,8428395,21000,1.089817e+18,14,2,395,1397556,8112871,0.17226404807866413,465,26,26,1.0,16,130,810578,599,0x4548c686a267c7234f7c61c5097e9598e550e760de904f369e09163514e818e6,7,7,1,1730143,472,3008790,3,2,0.0,0.0,1,0,0.0,0.3833513377355801,0.3847035801874692,-0.10106683232630027,-0.16368364445874467,-0.13882880271576764,-0.4335563055007736,0.32574635117663786,-0.21014362336299205,-0.36681415920519544,0.0,0.44454166192021816,-0.10106683232630027,0.3732876321538931,-0.1751510641436955,-0.7508548032892217,-0.7602184596820387,0.0,0.0,0.0,0.0,0.0,0.0,0.9172664789441689,-0.8296331814270888,0.0,-0.0,-0.15636615309695975,1.0,0.9830866807610994,4.689133210376252,0.46449088687117185,0.12213740458015267,8.666666666666666,3.2075837148507424e-05,0.2692307692307692,8.62826488921123e-07,1.0,0.015053763440860216,0
0xd0cabae5d2a2afd99f6127d460be5aeb929d4fb9a81d4aa9badb5293bc5e9182,1,0xe84cdeef1a44d1bdc92e16d165ee283aa97d2388,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-08 00:00:00.000000 UTC,42000,9769120916,7733351,21000,8.62345e+17,9,2,1,1397943,8113926,0.17228934550302777,466,23,23,1.0,12,125,775239,996,0xd0cabae5d2a2afd99f6127d460be5aeb929d4fb9a81d4aa9badb5293bc5e9182,10,7,1,1730183,473,3009850,1,2,0.0,0.0,1,0,0.0,1.744020530458972,1.6428027306346062,9.8944428847715,-0.16395728319266825,-0.13898519321781244,-0.45474824886896326,1.716282861010912,-0.20655523903504566,-0.36681415920519544,0.0,1.4379364619815571,9.8944428847715,1.8055800119201662,-0.26731621574684256,-0.7608309093925117,-0.7714707248291035,0.0,0.0,0.0,0.0,0.0,0.0,-0.5592085748429226,-0.9111345535640639,0.0,-0.0,-0.15727023407642518,1.0,0.9831223628691983,4.689634564667437,0.4644558817031142,0.09523809523809523,23.0,2.9668231773386305e-05,0.43478260869565216,1.2324490018765269e-06,1.4285714285714286,0.015021459227467811,0
0x7d7f7e6545283051c3415df8f724dd3ffe9c591c7ad842d7e30305822d5731c3,1,0x757f445f866285d87b1336f579430c9dd157d259,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-08 00:00:00.000000 UTC,42000,9769120916,7208171,21000,1.898e+19,0,2,3,1397943,8113926,0.17228934550302777,466,2,2,1.0,2,1,85,991,0x7d7f7e6545283051c3415df8f724dd3ffe9c591c7ad842d7e30305822d5731c3,1,1,1,1730183,473,3009850,1,2,0.0,0.0,1,0,0.0,1.744020530458972,1.6428027306346062,9.8944428847715,-0.16587275433013332,-0.14007992673212616,-0.5077281072894373,1.6987698067308832,-0.21732039201888484,-0.4434252819956935,0.0,1.4379364619815571,9.8944428847715,1.8055800119201662,-0.26731621574684256,-1.0082383407541042,-1.0182869431094141,0.0,0.0,0.0,0.0,0.0,0.0,-0.5592085748429226,-0.9727175477614047,0.0,0.0,-0.15889757983946298,1.0,0.9831223628691983,4.689634564667437,0.4644558817031142,1.0,2.0,0.023255813953488372,0.5,1.2324490018765268e-07,1.0,0.002145922746781116,0
0x2f186de0e85d285b269297605e76c36ee0c67d35fb17dabd1d0a8c8eb0ed5573,1,0xe7e0c9c54930fdb804d11595104ef2e07f8cc7a3,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 23:30:05.000000 UTC,42000,12235525374,25749916,21000,2.4798927e+18,70,2,11,1397904,8113858,0.1722859828209959,465,134,134,1.0,70,1587,9922268,961,0x2f186de0e85d285b269297605e76c36ee0c67d35fb17dabd1d0a8c8eb0ed5573,41,34,1,1730181,472,3009721,8,2,0.0,0.0,1,0,0.0,1.606898828866692,1.5617119797053123,-0.10106683232630027,-0.15383265003749574,-0.1331987446421543,-0.14746507003021345,1.5936914810507115,-0.16947526764626628,-0.022064106647954374,0.0,1.3882667219784903,-0.10106683232630027,1.6312727317410631,0.055261814864172074,2.156182515209489,2.141028089961675,0.0,0.0,0.0,0.0,0.0,0.0,-0.16484081442312634,1.201501148197265,0.0,-0.0,-0.14624044612694684,1.0,0.9830866807610994,4.6896006833967085,0.46446283078636497,0.04408060453400504,16.75,1.3504975525255363e-05,0.30597014925373134,5.053083255832183e-06,1.2058823529411764,0.07311827956989247,0
0x8de2df3b1ae4e64bcfe799acadf3c7a454332b2475c0950c5869a57e33a590b0,1,0x2af38c9213523b5e7343c9beded15e2ead6aa9b3,0x28c6c06298d514db089934071355e5743bf21d60,2022-08-07 20:30:03.000000 UTC,42000,11292875544,4424435,21000,1.347676e+18,1,2,364,1397605,8113004,0.1722672637656779,465,4,4,1.0,3,10,66442,640,0x8de2df3b1ae4e64bcfe799acadf3c7a454332b2475c0950c5869a57e33a590b0,1,1,1,1730150,472,3008929,2,2,0.0,0.0,1,0,0.0,0.555632449992547,0.5433075489168239,-0.10106683232630027,-0.1656903285075176,-0.13997566639742962,-0.50243012144739,0.4693533962728727,-0.21732039201888484,-0.4434252819956935,0.0,0.6183857519309525,-0.10106683232630027,0.5611071045949421,-0.221233639945269,-0.9902813497681822,-0.9971582592653953,0.0,0.0,0.0,0.0,0.0,0.0,-0.3155665808769598,-1.2991404845353278,0.0,-0.0,-0.15871676364356987,1.0,0.9830866807610994,4.689191110597347,0.46448571419075885,0.2727272727272727,2.0,6.020197763496531e-05,0.25,1.2325890631879388e-07,1.0,0.002150537634408602,0
